Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio","Pledged Promoter Holdings","Debt to Equity","ROCE","1Y Forward EPS Growth","5Y Historical Revenue Growth","1Y Return vs Nifty","RSI – 14D","Forward PE Ratio","Your Filter 1","6M Return","1Y Return","% Away From 52W High","50D EMA"
ABB India Ltd,ABB,"Heavy Electrical Equipments","135462.42871875","6392.5","81.19983019358496","11.038735452492618","-0.2574504602902169","28.75023041474651","19.145550600496083","0","0.007332447635469372","31.594395120669567","16.728057919471613","17.737620121518603","21.522838791662124","64.3743353420773","69.55930359085963","0.8566434612612654","19.736644938937587","24.88888454738158","2.5263981228001553","5719.820357974277"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","128889.684","4649.7","64.44677540326204","5.0494781076318285","-2.1857118815213847","28.220396621352783","17.0457433808554","0","0.003922554024387019","32.9791833648967","16.2888886666599","14.791336715353065","60.63007451586152","46.6928515318146","55.41954707985697","0.8599273855531312","14.784733879727451","63.99612027158098","7.254231455792848","4510.737777725603"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","111803.40106291001","709.9","114.71721841053768","4.496945609774042","-3.7162620371626174","27.623150615044494","27.690353267364767","0","0.010147041705158719","31.934805884918887","19.16902380874207","13.480996569262626","15.128362523365833","49.4319616258521","93.40789473684211","0.8142447666623501","-10.292538067858727","18.494408279085288","12.346809409776016","681.1031583119002"
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","63597.9808092","2498.8","113.55971146560958","4.303543849396852","-1.080717311270327","34.32806087891948","33.74972447951603","0","0.0005359796221609","24.11089253539032","117.410552795336","19.202605142417383","156.4682043664613","63.6003172085647","52.330890052356025","0.46082267537465443","61.07780571133887","159.83425012218075","8.251960941251802","2377.5140974665173"
Anand Rathi Wealth Ltd,ANANDRATHI,"Asset Management","25232.461291620002","3039.3","84.15589264456523","2.7589004970078226","-1.1641897824460905","44.44625624453372","36.694823221238174","0.005420339237592428","0.11533819059668718","52.89144977526916","28.706084156688743","23.859415761818248","76.12900813472793","52.7855507504452","65.63654033041789","0.7799399218262191","-0.013159193341436202","79.49505389044738","9.281742506498203","3046.0325087258557"
NMDC Ltd,NMDC,"Mining - Iron Ore","69094.89412545","78.59","10.579478906918208","-3.6533039107514895","-2.8193396809694584","23.586202189270537","2.325865131777906","0","0.14393220763465261","29.74180018711795","15.770420558709246","15.526874421572124","19.81577242609874","45.8333333333334","9.138372093023257","0.8637828170390724","4.078929943053898","23.181818181818194","10.344827586206895","80.34370095518972"
